id,name,age,salary,department,bonus,commission,score,rating,ot_hours,ot_amount
63,Bob,36,37244,Admin,1415,16634.41,89,1.89,23.8,7692
64,Grace,31,55585,Admin,5494,1786.98,29,4.09,38.9,1178
65,David,53,102391,Finance,16708,19641.35,6,3.15,1.7,4964
66,Helen,31,90456,Marketing,1066,23864.65,83,1.39,40.9,583
67,Grace,22,45937,Finance,1195,38637.8,92,3.84,3.9,4574
68,Alice,56,97768,Finance,3502,27418.43,22,1.79,38.7,1324
69,David,26,46778,HR,3298,15319.78,43,4.35,24.5,4672
70,Charlie,33,26218,Admin,14965,13208.5,28,2.37,6.7,3310
71,Alice,61,110100,Admin,5814,11152.27,45,1.13,43.2,6203
72,Charlie,29,66893,Finance,1065,36882.36,67,3.33,18.0,2754
73,Frank,64,97158,Admin,7672,43504.8,11,1.8,33.5,5917
74,Frank,31,74066,HR,3609,46329.66,55,2.08,49.0,2018
75,Helen,37,105230,Finance,13567,10935.0,99,1.78,25.2,809
76,Alice,57,108495,Finance,1338,20354.06,16,1.04,40.3,3823
77,Helen,58,89142,Admin,12455,12457.4,70,1.85,49.3,2291
78,Frank,49,85346,Marketing,13007,24788.26,54,1.19,44.0,4384
79,David,57,79012,IT,8829,23256.67,30,2.1,22.3,7077
80,Grace,46,94704,Marketing,18198,7453.18,9,4.73,9.1,3363
81,Grace,36,97231,Admin,4747,37656.96,71,2.99,12.5,696
82,Bob,20,83368,Marketing,16766,21400.69,88,1.74,32.4,4887
83,David,38,100300,Admin,11048,14461.81,1,3.38,49.1,7548
84,Charlie,59,22198,Finance,8053,45529.93,77,3.48,31.8,4798
85,Bob,22,63833,Finance,5297,22696.79,67,1.1,40.8,913
86,Bob,20,106246,Marketing,14672,45479.13,68,1.51,19.3,5187
87,David,54,29015,Admin,11272,46958.44,29,1.69,11.1,7357
88,Bob,38,113061,Admin,4547,8464.81,49,2.75,6.0,3976
89,David,51,39423,HR,6698,5079.34,50,2.65,10.6,6453
90,Charlie,26,108925,IT,7746,6207.79,49,1.15,29.5,1371
91,Helen,51,62685,Finance,7276,48921.13,4,3.23,41.8,3186
92,Grace,21,84649,HR,13674,29811.09,93,3.9,10.0,4822
93,Grace,49,104277,Sales,2114,31100.61,94,1.15,5.0,3054
94,Eva,59,56659,Finance,5073,49519.32,8,1.97,30.7,1661
95,Eva,30,60661,Finance,6126,44702.06,71,1.23,9.3,5219
96,Bob,54,51008,Sales,2744,1074.16,41,2.46,21.5,4238
97,Charlie,58,31234,Marketing,18257,9261.82,94,3.54,37.4,4028
98,Alice,32,44080,Sales,14152,27798.07,43,4.22,28.4,3221
99,Alice,33,110220,IT,17529,36481.6,28,1.4,36.3,7754
100,Alice,44,104449,IT,13453,29230.55,27,2.76,44.3,3466
101,Bob,55,55996,HR,18875,38498.33,68,2.69,35.2,2260
102,Eva,61,83798,Sales,9557,48568.58,37,4.41,17.4,4882
103,Frank,43,107184,Admin,16777,5995.01,81,1.27,20.8,6819
104,Grace,42,81538,Sales,6619,43765.02,73,4.51,35.2,5995
105,Eva,38,100597,IT,1624,34388.05,62,3.52,25.7,3712
106,Bob,22,23451,Finance,13765,9912.3,83,3.93,47.0,6483
107,Charlie,47,40963,Sales,7470,29949.95,18,2.49,21.3,7495
108,Bob,39,39467,Marketing,11678,47176.71,87,4.12,41.9,2066
109,Eva,56,44880,Marketing,11963,45659.01,53,4.64,30.9,5926
110,David,59,57555,Sales,6501,21693.54,25,2.89,42.7,1882
111,Frank,52,90790,Finance,18589,40926.33,54,4.53,43.8,2236
112,David,64,26844,Admin,17926,41567.35,66,4.62,18.3,7871
113,Bob,22,50881,Finance,17705,31877.1,6,3.82,42.1,7817
114,Frank,55,118898,Marketing,18251,28151.89,25,2.64,39.4,6855
115,Eva,48,98530,Sales,6419,12707.32,72,4.86,25.7,5089
116,David,52,45035,Admin,6477,15989.12,64,1.78,47.4,1991
117,Eva,52,72038,HR,7340,36757.27,18,3.97,16.8,1433
118,Bob,40,60153,HR,9638,24534.85,23,3.45,38.8,2848
119,Helen,24,73734,Finance,1728,1360.28,99,4.95,9.8,817
120,Grace,43,49153,Marketing,1681,44787.79,42,3.54,48.7,6689
121,Charlie,62,110727,Marketing,12416,41193.66,89,4.74,43.9,5841
122,Charlie,41,24991,IT,14769,11387.8,31,3.03,7.8,4202
123,Charlie,54,110556,Marketing,3970,4542.23,25,1.74,22.9,1669
124,Eva,41,58880,HR,12597,37943.18,76,1.09,7.3,7046
125,Helen,61,55099,IT,11547,49845.13,21,2.27,33.5,5585
126,Charlie,18,70972,Sales,1650,20414.22,6,1.15,34.5,6562
127,Grace,47,109886,Marketing,9066,30896.67,81,1.03,20.6,620
128,Helen,49,86973,Admin,6645,37452.38,66,3.08,15.8,1308
129,Frank,37,90433,IT,19906,33424.85,96,1.81,21.4,2384
130,Alice,55,119811,IT,13633,37475.18,47,3.69,8.1,2106
131,Charlie,55,54304,Sales,11067,2910.44,34,1.11,45.3,3221
132,Alice,49,89853,Admin,3948,28740.56,69,1.73,32.6,3067
133,Bob,18,65945,IT,2921,37538.35,96,4.16,30.6,2444
134,Alice,18,23055,Sales,18838,41776.75,13,1.21,21.5,1504
135,Grace,25,75910,Marketing,18433,48744.72,85,3.6,31.5,4793
136,Charlie,44,41633,Admin,18711,7228.17,6,3.07,48.2,7199
137,Bob,50,66517,Finance,11058,32651.23,75,1.6,22.6,1025
138,Bob,57,58354,HR,12319,39084.54,37,2.72,47.1,2632
139,David,64,112635,Marketing,13256,30280.07,50,4.84,47.5,6124
140,Alice,50,117441,Sales,3761,38662.91,14,2.07,12.3,3621
141,Alice,25,36049,Marketing,6044,27562.24,43,4.45,40.5,7369
142,Helen,47,86929,Admin,2737,24501.85,51,1.12,25.9,2962
143,Helen,20,35460,Admin,17185,36443.35,31,2.54,20.1,6162
144,Bob,52,30653,Sales,14815,19094.04,17,2.85,43.4,7134
145,Frank,55,26981,Sales,12014,15008.22,34,3.44,35.0,3363
146,Frank,54,50811,Sales,6472,39468.52,2,3.52,26.6,3078
147,Helen,39,101531,Admin,6216,30577.9,65,4.53,29.4,2078
148,Frank,44,45575,IT,18217,25545.74,69,1.01,23.1,1863
149,Alice,31,25159,Finance,12583,11990.28,26,3.36,22.0,3344
150,David,59,20947,Sales,13654,44562.86,24,4.35,10.2,1598
151,Eva,45,33829,IT,17311,10051.35,74,3.17,7.3,3599
152,Alice,59,28503,IT,4769,14121.06,40,4.74,7.5,1090
153,Bob,46,96197,Finance,14076,49528.34,4,3.89,1.3,5721
154,Charlie,50,89277,Finance,11155,15000.45,86,3.9,30.9,3529
155,Bob,35,34001,Sales,15179,27823.65,92,1.22,17.4,5720
156,Grace,54,104229,Marketing,9561,25559.6,50,2.62,7.7,7228
157,Charlie,36,86901,HR,9098,27860.3,14,3.94,33.1,7693
158,Helen,41,20392,HR,16259,742.44,50,1.5,38.1,7082
159,David,64,76100,IT,3609,25859.7,93,2.65,30.0,7761
160,Charlie,48,58627,Sales,17693,4744.23,74,1.75,3.2,4941
161,Grace,40,63589,Finance,6937,34152.52,42,4.61,41.9,5518
162,Bob,31,81578,Finance,16236,9981.12,12,4.95,5.6,5824
163,Bob,40,28286,Finance,3332,1032.6,93,2.3,42.2,7884
164,Bob,59,84918,Marketing,19688,2745.24,92,3.92,22.4,5008
165,Charlie,35,99341,Sales,15645,11661.12,2,1.12,29.2,6839
166,Charlie,24,39277,HR,18037,49740.27,40,1.01,26.2,2801
167,Alice,64,49268,HR,5607,26990.09,21,2.65,45.4,4107
168,Frank,35,53038,Finance,10387,5160.67,29,3.93,23.6,624
169,Frank,61,105536,HR,9561,24575.82,42,1.66,25.6,7621
170,Grace,50,73215,HR,11175,14585.48,37,2.05,39.1,5261
171,David,44,62514,Admin,7702,26965.88,61,2.98,40.7,5216
172,Charlie,42,49230,Admin,4400,21871.27,13,3.07,37.5,2133
173,Bob,62,101510,Finance,14266,1629.74,25,3.4,14.3,5955
174,Helen,63,36031,Sales,9990,8752.62,94,2.61,18.5,3154
175,Frank,39,69270,Sales,2189,6328.68,45,1.82,48.3,7019
176,Grace,29,55637,Finance,12067,34479.46,68,3.57,16.8,4365
177,Grace,57,85184,IT,16491,4854.83,12,1.38,15.4,5721
178,Eva,39,80373,Sales,9537,10719.37,23,2.53,7.9,1328
179,Grace,37,101970,Finance,13144,1521.4,64,2.24,31.5,3760
180,Helen,64,91808,Admin,5561,26161.48,7,4.56,0.8,6913
181,Grace,29,108241,Finance,10486,40629.54,2,1.85,35.0,6553
182,Frank,20,103309,Admin,2090,16749.67,95,3.36,0.4,769
183,Grace,57,107590,Marketing,19193,32344.61,74,1.24,17.3,1051
184,Frank,56,27384,Sales,18778,47922.59,69,3.45,10.1,7555
185,Grace,56,94211,Marketing,4374,13695.2,36,2.36,40.8,2411
186,David,31,56779,Sales,17394,26284.9,30,1.81,16.5,2492
187,David,37,31808,HR,16786,21871.15,31,3.98,34.4,6280
188,David,34,45920,HR,14869,1381.62,15,1.03,45.8,4407
189,David,49,50625,Sales,17228,1515.93,98,3.53,35.3,2631
190,Grace,20,24683,Marketing,17233,36538.98,69,3.52,37.8,927
191,Charlie,32,97229,Marketing,3799,37631.27,89,3.34,31.4,6673
192,Helen,52,71863,IT,16355,9189.72,92,1.42,42.8,4195
193,Grace,62,23303,Finance,18187,47922.51,53,3.28,22.1,2113
194,Frank,52,109075,HR,8945,40240.36,80,1.49,5.6,6522
195,Alice,64,53113,Finance,11224,29865.1,75,4.64,29.5,5785
196,Alice,28,61229,HR,16473,24939.54,65,1.42,39.5,1799
197,Bob,39,117746,Sales,17229,40730.99,69,2.28,8.7,4408
198,Charlie,53,31560,HR,7534,19538.76,72,2.94,48.8,4950
199,Eva,23,103340,Finance,15569,12523.2,77,3.12,43.3,7122
200,Alice,26,32566,Admin,1154,23493.53,54,3.78,13.6,1726
201,Charlie,27,62712,Sales,3106,8205.1,17,3.62,9.2,2517
202,Eva,39,85765,IT,2610,13314.73,10,3.09,8.4,1578
203,Frank,55,111831,IT,13524,15608.8,52,3.53,16.4,1536
204,Eva,27,98269,Finance,13377,33959.79,9,3.53,43.4,7724
205,Charlie,56,83806,HR,3763,1927.66,61,4.14,27.1,4439
206,David,58,86905,HR,19893,49181.47,15,3.52,25.2,871
207,Frank,62,38632,Sales,17868,20924.99,99,2.91,15.6,5352
208,David,40,90297,HR,17567,2455.24,92,4.55,45.6,3377
209,Charlie,56,76513,IT,18028,47000.41,89,4.84,39.6,3729
210,Bob,27,83791,Admin,2597,36614.33,51,4.75,49.0,4117
211,Alice,52,65192,Marketing,15956,26022.77,95,3.34,21.1,709
212,Frank,46,40478,HR,10838,19780.88,13,1.1,27.2,732
213,Grace,36,30169,HR,19340,716.47,71,1.23,12.4,6593
214,Eva,36,42366,Admin,17471,32736.36,21,3.82,19.7,3345
215,Grace,52,104334,HR,5629,9597.64,29,3.86,28.1,663
216,David,35,110574,Sales,8680,6358.69,23,1.26,3.7,6785
217,David,23,85105,IT,7704,17845.43,25,4.27,20.5,2019
218,Frank,60,62566,Marketing,15152,651.93,3,3.87,29.9,5924
219,Grace,62,104682,Admin,11909,10266.18,9,3.46,42.0,1558
220,Alice,42,69269,IT,8355,7804.43,59,4.79,27.9,6037
221,Bob,63,118946,Finance,19766,28712.77,42,2.46,5.0,7466
222,Eva,32,34527,Admin,12881,36702.42,28,3.16,32.6,4446
223,Charlie,63,115853,IT,9855,43637.05,71,1.61,21.6,653
224,Helen,40,39116,Finance,19352,39906.52,85,4.69,29.3,5114
225,Charlie,48,91861,Admin,15969,25019.74,1,4.25,32.3,2872
226,Eva,61,59490,Admin,16965,26594.61,91,2.07,38.9,6827
227,Charlie,32,53075,Sales,5598,1560.85,46,2.91,35.6,3868
228,Alice,56,84929,Sales,19307,44648.6,40,1.51,21.1,6757
229,Grace,28,113529,IT,14280,33050.78,97,4.64,0.6,6779
230,Frank,24,60784,HR,7532,35948.43,10,4.8,24.2,7939
231,Bob,31,23554,Sales,18753,39336.33,39,1.23,16.9,1309
232,Eva,41,54134,IT,6449,19993.9,4,4.33,11.0,5554
233,David,23,93610,Marketing,19919,19842.26,25,4.33,41.6,6851
234,Bob,48,49260,Finance,16278,19883.24,95,1.78,20.7,3604
235,Charlie,41,78781,IT,12144,42777.77,38,1.01,27.8,6916
236,Bob,30,26711,Marketing,12264,24732.28,54,4.03,31.7,2137
237,Eva,28,109741,IT,8229,9048.27,89,2.6,1.9,4260
238,Charlie,31,98218,IT,19681,7696.44,66,3.85,26.1,2895
239,Alice,28,66076,Marketing,12373,35915.04,31,4.57,43.8,5899
240,Alice,46,39317,Marketing,15748,23589.64,37,2.94,26.2,2948
241,Alice,32,60494,IT,17341,7748.06,48,3.84,6.5,7603
242,Bob,39,83089,Sales,11495,40566.63,38,1.57,2.4,2259
243,Eva,22,62346,Sales,17581,24142.38,23,4.76,30.2,1409
244,Frank,39,34051,Finance,3499,30055.31,79,4.2,9.5,6129
245,Eva,20,20257,Finance,18457,30526.25,74,4.06,9.7,4192
246,Alice,42,116509,Marketing,8568,12884.91,55,4.0,12.3,4216
247,David,42,113513,IT,11161,37129.6,8,1.1,4.9,3341
248,Frank,42,68168,IT,9893,833.57,25,1.38,8.3,7640
249,Bob,40,69717,Marketing,19105,9109.23,39,4.25,17.2,2149
250,Charlie,32,99763,Marketing,14315,22376.64,62,1.69,10.7,1966
251,Alice,21,119408,IT,17067,17960.82,27,1.31,35.4,6891
252,Charlie,55,78867,HR,1033,10867.78,63,2.68,26.8,4925
253,Eva,31,88953,Sales,17975,31476.16,83,1.38,42.7,2503
254,Grace,50,37253,Marketing,6297,835.06,71,4.34,26.5,2340
255,Charlie,48,80830,Finance,19615,7469.44,89,4.86,26.9,5789
256,David,27,34525,HR,3242,22766.27,19,3.89,11.0,6944
257,Eva,39,44158,Finance,15571,31724.61,20,3.9,23.0,6164
258,Frank,28,34151,Sales,12216,45807.86,90,3.5,26.1,3805
259,Charlie,33,79713,Finance,11209,41371.36,10,1.88,1.9,4157
260,Alice,35,84943,HR,2547,7667.41,22,2.69,24.7,6545
261,Grace,31,107337,Sales,4068,42786.36,86,2.75,1.7,7544
262,Grace,57,39988,Admin,15327,35127.87,45,2.6,27.4,6978
263,Charlie,22,108623,IT,19187,16996.42,76,4.19,35.3,907
264,Helen,41,69273,HR,9324,14238.48,76,3.65,30.4,5684
265,Charlie,48,96537,Finance,9433,15824.1,38,2.88,13.7,7992
266,Frank,39,106667,HR,16374,40850.98,5,1.89,40.8,3436
267,David,55,61736,Marketing,16468,23090.43,12,2.33,9.1,2265
268,Eva,20,94498,Marketing,9398,10192.58,35,3.06,46.5,3986
269,David,27,119279,HR,12997,4943.45,76,2.02,3.5,7560
270,Frank,53,21383,HR,1054,20746.55,21,3.27,26.3,2576
271,Eva,49,73045,Marketing,3109,17234.76,35,3.6,34.4,3312
272,Frank,38,105253,Admin,7942,47496.23,8,2.41,39.0,3358
273,Eva,37,42856,Marketing,10350,37829.21,33,2.38,28.4,2866
274,Helen,43,71207,Sales,10183,23041.05,35,2.46,41.5,7342
275,Eva,32,91630,Marketing,15692,12609.43,10,1.14,7.8,7245
276,David,48,46930,Sales,14859,17139.81,13,4.27,20.7,6092
277,Frank,38,52097,Sales,9732,14046.2,84,1.41,31.0,3678
278,Charlie,31,58250,IT,6099,28710.5,4,2.2,17.0,5320
279,Frank,18,80070,Marketing,2605,17805.25,81,4.68,1.4,2246
280,Frank,59,22197,Admin,7743,7333.96,62,2.29,27.9,582
281,Bob,28,82690,Finance,8688,4600.62,37,3.21,18.5,4826
282,Alice,55,20686,Marketing,13896,12478.28,49,1.5,32.3,3290
283,Eva,40,44567,IT,19608,40675.58,24,3.01,33.8,7651
284,Grace,43,46095,Sales,16890,13351.92,24,1.67,36.7,1966
285,Frank,35,73309,Marketing,18657,3936.89,55,1.67,3.1,7147
286,Bob,44,107491,Finance,14490,9856.62,40,2.46,38.1,7366
287,Eva,43,65427,IT,18635,43125.35,43,1.2,5.7,2165
288,Alice,18,39670,Finance,18046,43251.92,98,4.55,48.0,2180
289,Charlie,33,104428,Sales,17236,23227.14,13,4.29,43.4,4031
290,Helen,48,72095,Finance,14249,3642.84,13,2.05,34.9,3460
291,Grace,43,82995,HR,5984,20752.32,60,1.14,22.0,948
292,Bob,45,64094,Marketing,9286,45352.9,28,4.11,25.2,6266
293,Frank,20,112637,IT,18186,31485.72,6,2.43,49.9,3767
294,David,64,86208,Finance,10699,7231.38,52,2.15,15.0,5201
295,Helen,26,55690,Sales,11383,37040.29,74,4.51,21.7,1491
296,Grace,48,66991,Sales,10979,41926.27,38,2.89,47.1,7145
297,Grace,21,23608,Admin,1293,20212.06,85,4.9,41.5,7527
298,Alice,33,39167,Sales,6840,19088.69,92,1.74,24.6,947
299,David,28,50376,Marketing,11810,7107.79,92,1.76,10.5,7424
300,Eva,47,99591,Marketing,11921,16869.31,67,3.06,28.3,935
301,Charlie,32,119948,Sales,18990,11771.92,22,4.47,34.2,4952
302,Grace,26,116757,Finance,9919,36239.81,70,4.74,14.4,862
303,Grace,45,69983,IT,9971,42179.53,90,2.08,3.8,4111
304,Helen,31,60230,IT,1225,9398.84,39,4.93,37.1,4138
305,Frank,62,115333,HR,13122,38668.17,92,1.05,20.9,5269
306,Alice,33,61092,IT,5431,12780.3,79,3.46,17.7,3000
307,Charlie,55,108952,HR,8456,27087.19,99,3.75,20.7,874
308,Eva,38,85744,Admin,15630,10869.89,77,1.26,47.2,1401
309,Bob,59,27034,Sales,3905,40836.53,25,1.39,23.3,5121
310,Eva,22,67948,Sales,16299,48823.18,75,3.33,19.4,4737
311,Eva,43,96495,IT,19880,4809.45,30,2.22,11.8,732
312,Eva,61,28510,Finance,4138,15514.24,92,4.69,44.5,6933
313,Charlie,64,37955,Finance,17072,41615.94,98,1.52,2.0,6813
314,Charlie,20,119368,IT,9211,40137.82,13,2.03,49.9,6601
315,Eva,25,45313,Sales,17762,42264.55,26,3.57,25.2,1995
316,David,49,41333,Admin,2022,41863.12,99,2.02,1.3,6238
317,Eva,56,72392,Sales,12525,11842.35,40,1.59,14.5,4458
318,Helen,19,58907,Marketing,16143,15134.75,75,1.5,0.2,7144
319,Frank,59,41148,HR,10862,47056.8,78,4.43,5.7,1422
320,Alice,35,106064,Sales,3539,35492.93,92,4.35,33.0,6686
321,Alice,56,40467,Marketing,7492,48617.71,71,4.37,25.6,5878
322,Frank,25,87399,Admin,5857,45975.32,23,4.41,43.0,7952
323,Helen,60,87742,Marketing,8288,4671.8,75,2.39,49.4,3599
324,Alice,47,81037,Sales,2627,21862.06,6,1.56,49.0,1632
325,Alice,55,69257,Finance,10911,7503.16,83,4.82,23.9,4025
326,David,34,83652,HR,17141,29665.42,57,2.47,16.7,3859
327,Bob,50,28531,Admin,15129,9848.33,56,1.76,15.6,5591
328,Charlie,22,88415,HR,2220,47084.39,71,4.89,12.2,507
329,Helen,42,33183,IT,8349,40345.84,43,1.9,27.7,1195
330,Grace,52,40009,HR,17589,11525.26,57,2.44,14.3,5170
331,Frank,55,86440,IT,13406,16871.22,78,1.1,24.9,4179
332,Frank,30,93989,IT,16552,47531.12,95,2.17,9.3,5309
333,Grace,26,108641,Sales,10011,35435.47,67,4.99,24.8,5615
334,David,35,74746,Marketing,1111,29851.58,94,1.95,33.5,4225
335,Charlie,51,50534,IT,8917,16760.39,99,3.22,22.8,6292
336,Helen,33,67120,Finance,6768,17914.9,36,3.46,24.1,3219
337,Frank,51,74997,HR,5887,22189.84,96,4.04,49.8,7677
338,Alice,46,61977,Sales,17706,32179.99,98,4.1,40.2,1851
339,Frank,37,72290,IT,1223,9339.69,45,4.87,26.1,4683
340,Bob,50,98272,HR,2653,5734.31,41,2.74,15.9,6766
341,Grace,34,81263,Sales,14696,49625.9,69,4.14,31.4,1778
342,Helen,52,80403,Admin,6286,4577.49,10,1.27,37.1,2822
343,David,61,48908,Marketing,2023,43119.18,96,4.22,41.3,4532
344,Charlie,42,113484,Admin,18141,44323.97,64,4.69,27.3,2779
345,Frank,25,102424,Admin,5877,47403.61,29,4.59,5.7,4764
346,Eva,61,99312,Sales,17412,32229.24,11,4.01,3.1,4777
347,Bob,57,83894,Finance,17753,1429.18,33,1.04,27.6,7070
348,Alice,22,66750,Finance,7901,23328.94,17,4.07,15.7,3152
349,David,56,38674,HR,2198,23018.31,87,3.63,48.1,818
350,Grace,53,84356,IT,7617,26650.71,43,2.81,12.7,5260
351,Eva,45,115545,Sales,13855,13434.61,46,4.12,1.5,3156
352,Grace,30,106512,Admin,6236,47954.43,60,3.07,35.9,6004
353,David,53,88392,Finance,6884,47576.85,88,1.74,10.1,5534
354,Helen,48,69916,Sales,4123,14493.68,69,2.18,32.7,4309
355,Helen,63,72418,IT,2325,40533.69,82,1.1,21.7,958
356,Helen,50,112701,IT,6735,7347.34,93,4.13,20.9,5370
357,Bob,29,119710,Finance,19060,48408.75,6,3.36,32.1,1085
358,Frank,51,61239,Marketing,10010,38333.7,29,1.86,26.0,1846
359,Charlie,27,58572,IT,10586,38465.47,13,3.95,22.1,881
360,Grace,24,75404,Finance,4021,39839.25,33,3.35,46.2,7208
361,Charlie,60,110447,HR,1749,45437.92,45,2.73,18.3,7210
362,Grace,21,109760,Admin,2904,6385.65,71,4.61,20.8,3767
363,Helen,55,24611,Marketing,12746,9889.27,77,3.93,20.6,7026
364,Frank,26,20906,Admin,7886,33918.69,93,2.44,38.7,2014
365,Alice,47,32179,Sales,1525,23337.6,23,1.31,3.3,6282
366,Helen,54,31645,Finance,10826,3525.81,55,2.5,17.5,4400
367,Frank,40,74826,Marketing,1593,7975.76,54,1.06,32.0,611
368,Charlie,44,32525,Sales,18521,12001.94,92,2.85,49.2,5482
369,Alice,44,79857,Finance,10448,47173.68,42,1.22,15.6,4512
370,Alice,27,35291,Finance,4486,45094.89,25,4.74,44.2,4003
371,Helen,33,38961,Finance,11738,1586.81,29,4.78,46.1,4912
372,Alice,23,76566,Marketing,2743,42176.76,83,4.31,5.2,1751
373,Alice,44,51422,Admin,4921,7777.55,29,4.48,20.6,1873
374,Eva,22,74465,Marketing,16174,24431.59,92,3.37,7.9,5994
375,Helen,64,51881,Marketing,3715,22442.57,94,4.45,41.0,7306
376,Eva,20,89328,IT,10679,24756.77,34,3.28,29.9,7065
377,Helen,29,112497,Admin,10468,26241.73,28,3.29,6.8,7300
378,Grace,22,49463,Sales,9653,46383.37,88,3.38,11.2,4987
379,David,40,27577,Marketing,16673,9144.71,8,3.11,20.1,3223
380,Charlie,53,76482,Finance,18325,636.61,4,3.64,25.0,1506
381,Bob,31,70819,Admin,6101,29914.52,82,1.58,13.4,2008
382,David,63,46751,Finance,16319,6418.82,60,1.1,2.1,2525
383,Grace,46,91882,HR,5424,16814.66,67,3.36,12.5,1105
384,Grace,30,35406,Finance,4633,79.46,29,3.71,10.0,4924
385,Charlie,48,82973,Marketing,17534,48988.3,72,1.17,24.9,4171
386,Helen,39,64817,IT,16058,26256.98,80,1.67,41.3,7488
387,Eva,41,45565,Sales,17489,5043.34,54,2.95,28.3,4123
388,Bob,64,93056,HR,11100,26425.17,36,4.28,22.0,2617
389,Charlie,42,26653,IT,19082,8292.41,40,3.5,45.8,7613
390,Charlie,32,74991,IT,13632,4389.21,9,4.48,11.2,3609
